Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
28523708645,"Thùng 10 Gói Khăn Ướt Lau Ban Thờ 80 Tờ 1 Gói, Khăn Ướt Bao Sái Ban Thờ Hương Vị Trầm Cao Cấp","50,7k",30k+,Giấy đa sắc organic,15%,₫7.603,https://shopee.vn/product/471619959/28523708645,https://s.shopee.vn/70FpOKXHeP
7958918587,"Khăn Tắm, Khăn Gội, Khăn Mặt Royal Towel Sợi Cotton Mềm Mịn, Thấm Hút Tốt, Không Xổ Lông, Không Phai Màu","19,0k",900k+,Khăn Bông Cao Cấp ,22%,₫4.180,https://shopee.vn/product/291717098/7958918587,https://s.shopee.vn/6pwPC1XuzO
20574771962,"[Set 100 Cái] Khẩu Trang 5D THỊNH PHÁT Đủ Màu Chính Hãng, 3 Lớp Kháng Khuẩn Dễ Thở, Chống Bụi Mịn","26,0k",50k+,Leo Pharma ✅,20%,₫5.200,https://shopee.vn/product/935294565/20574771962,https://s.shopee.vn/6fcyziYYKN
23420575180,"Bộ Chăn Ga Gối Lụa Thái Nhập Khẩu Cao Cấp, Chất Liệu Lụa Thái Mềm Mịn, Thoải Mái, Thoáng Mát, Chăn Đã Có Ruột (Sẵn Hàng)","370,4k",70k+,LIÊN HƯƠNG SỈ LẺ CHĂN GA GỐI,15%,₫55.566,https://shopee.vn/product/26450901/23420575180,https://s.shopee.vn/6VJYnPZBfM
5231146496,"[30 Mẫu] Cây Lăn Bụi Làm Sạch Quần Áo, Ga Giường, Sofa, Lông Chó Mèo - Lõi Lăn Bụi Dự Phòng 60 Lớp","19,4k",500k+,TEKCO STATION,20%,₫3.883,https://shopee.vn/product/132665697/5231146496,https://s.shopee.vn/6L08b6Zp0L
25122724930,Set áo voan tơ hai lớp babydoll Dilyshop kèm chân váy xòe tiểu thư cách điệu chất voan tơ mềm mịn,"179,0k",20k+,Dilyshop.vn,18%,₫32.220,https://shopee.vn/product/70231816/25122724930,https://s.shopee.vn/6AgiOnaSLK
27176838116,"Sạc Dự Phòng Không Dây, Pin Dự Phòng Kiêm Củ Sạc Công Suất 22,5W 20000mAh, Sạc Cho Táo Và Android","599,0k",100k+,PKMALL STORE POWERBANK,22%,₫131.780,https://shopee.vn/product/1412431584/27176838116,https://s.shopee.vn/60NICUb5gJ
27156131646,Màn chụp tự bung cho bé - Hàng Loại 1 - Mùng chụp tự bung xếp chống muỗi cho bé - Từ 1 > 3 Tuổi - Hàng tại xưởng,"65,0k",30k+,Màn Gia Anh ,20%,₫13.000,https://shopee.vn/product/1127715335/27156131646,https://s.shopee.vn/5q3s0Bbj1I
27305257930,"[Loại 1] Đèn Bắt Muỗi, Máy Bắt Muỗi Diệt Côn Trùng Thông Minh Kiêm Đèn Ngủ Cao Cấp Có Quạt Hút Cổng Sạc USB Tiện Lợi.","125,0k",200k+,Gia Dụng Vệt_GDV,15%,₫18.750,https://shopee.vn/product/716959454/27305257930,https://s.shopee.vn/5fkRnscMMH
28757659655,Set áo trễ vai dài tay mix chân váy midi set áo len tăm nơ bên phối chân váy xếp ly dáng dài sang chảnh B412 PANOSI,"155,0k",9k+,PANOSI FASHION,20%,₫31.000,https://shopee.vn/product/151223348/28757659655,https://s.shopee.vn/5VR1bZczhG
10437622623,Tắm Gội Nam X-Men for Boss Intense 850g/ Legend 830g Hương Nước Hoa Châu Âu Sang Trọng Lịch Lãm,"228,0k",20k+,X-men Official Store,20%,₫45.600,https://shopee.vn/product/93949212/10437622623,https://s.shopee.vn/5L7bPGdd2F
22383806325,"Địu em bé sơ sinh EMOON, đa năng có 9 tư thế chống gù cho bé từ 0-3 tuổi tư thế gọn nhẹ bề mặt vải 3D thoáng khí mềm mại","475,0k",50k+,EMOON.House,17%,₫80.750,https://shopee.vn/product/543229869/22383806325,https://s.shopee.vn/AUphYlJxYG
24347738289,"[ LIVE MUA 2 TẶNG 1] Nước Tẩy Bồn Cầu Flashman Diệt Khuẩn 99.9% 500g– Khử Mùi, Tẩy Sạch Vết Bẩn","159,0k",2k+,FLASHMAN VN,23%,₫36.570,https://shopee.vn/product/1500204576/24347738289,https://s.shopee.vn/AKWHMSKatF
28818204493,Sạc Dựng Phòng Trong Suốt 30000mAh Với 2 Cổng Sạc Nhanh 22.5w và PD 20W Kèm 4 Đầu Sạc Màn Hình LED- DL Tech,"215,0k",600k+,Pin dự phòng nội địa Trung,20%,₫43.000,https://shopee.vn/product/938402459/28818204493,https://s.shopee.vn/AACrA9LEEE
26128065474,Quần Lót Nam [ COMBO 5 ] Quần Sịp Đùi Nam BOXER Thun Lạnh Thông Hơi Mềm Mịn Co Dãn 4 Chiều - Quần Xì Nam Đùi Mềm Mát,"144,0k",30k+,FORMAN BOXER STORE,20%,₫28.800,https://shopee.vn/product/1057449818/26128065474,https://s.shopee.vn/9ztQxqLrZD
23503214505,Túi Thơm Để Tủ Quần Áo Hygiene Thái Lan Hương Hoa Thơm Phòng Treo Xe Phòng Ngủ Loại Bỏ Ẩm Mốc,"33,0k",300k+,OliveScent - All Scents,12%,₫3.960,https://shopee.vn/product/284282956/23503214505,https://s.shopee.vn/9pa0lXMUuC
10472886486,"Giấy ăn rút Top Gia, thùng 30 gói/16 gói/46 gói 4 lớp cao cấp tiện lợi","62,0k",500k+,TopGia Official,19%,₫11.780,https://shopee.vn/product/550942423/10472886486,https://s.shopee.vn/9fGaZEN8FB
25241658670,PKMALL Sạc dự phòng 30000mah 50000mah sạc nhanh 100w pin dung lượng lớn tích hợp dây sạc cho điện thoại SP1,"175,0k",100k+,PKMALL STORE POWERBANK,22%,₫38.500,https://shopee.vn/product/1412431584/25241658670,https://s.shopee.vn/9UxAMvNlaA
